product_id,product_name,category,subcategory,cost_price
264,T-Shirt,Clothing,T-Shirt,3974.53
265,Chair,Home,Chair,1316.33
266,Lipstick,Beauty,Lipstick,3102.12
267,Tennis Racket,Sports,Tennis Racket,1724.82
268,Shirt,Clothing,Shirt,1187.81
269,Perfume,Beauty,Perfume,2016.56
270,Perfume,Beauty,Perfume,220.36
271,Headphones,Electronics,Headphones,4812.47
272,Mobile,Electronics,Mobile,1781.03
273,Notebook,Books,Notebook,578.35
274,Cream,Beauty,Cream,1571.29
275,Face Wash,Beauty,Face Wash,3275.05
276,Perfume,Beauty,Perfume,3728.4
277,Bat,Sports,Bat,1721.85
278,T-Shirt,Clothing,T-Shirt,2084.73
279,Dictionary,Books,Dictionary,2217.46
280,Mobile,Electronics,Mobile,2204.81
281,Mobile,Electronics,Mobile,3786.39
282,Laptop,Electronics,Laptop,2730.76
283,Sofa,Home,Sofa,658.38
284,Cream,Beauty,Cream,3231.63
285,Tennis Racket,Sports,Tennis Racket,2976.32
286,Sofa,Home,Sofa,3125.08
287,Lipstick,Beauty,Lipstick,2991.82
288,Perfume,Beauty,Perfume,1269.01
289,Mobile,Electronics,Mobile,792.66
290,T-Shirt,Clothing,T-Shirt,2916.55
291,Jeans,Clothing,Jeans,2733.16
292,Perfume,Beauty,Perfume,2499.25
293,Dictionary,Books,Dictionary,2309.9
294,Headphones,Electronics,Headphones,2474.58
295,Notebook,Books,Notebook,2576.65
296,T-Shirt,Clothing,T-Shirt,2136.59
297,T-Shirt,Clothing,T-Shirt,2870.45
298,Magazine,Books,Magazine,2734.28
299,Notebook,Books,Notebook,3885.48
300,Shirt,Clothing,Shirt,1412.66
301,Cricket Ball,Sports,Cricket Ball,3808.25
302,Cream,Beauty,Cream,4949.9
303,Mobile,Electronics,Mobile,4996.63
304,Jacket,Clothing,Jacket,4101.97
305,Shirt,Clothing,Shirt,1261.04
306,Lipstick,Beauty,Lipstick,3090.28
307,Jeans,Clothing,Jeans,3945.76
308,Novel,Books,Novel,2708.18
309,Bat,Sports,Bat,3549.86
310,Sofa,Home,Sofa,2620.63
311,Face Wash,Beauty,Face Wash,3775.46
312,Shirt,Clothing,Shirt,4348.53
313,Dictionary,Books,Dictionary,3585.83
314,Notebook,Books,Notebook,2929.39
315,Lamp,Home,Lamp,470.03
316,Monitor,Electronics,Monitor,1463.31
317,Lamp,Home,Lamp,1703.72
318,Laptop,Electronics,Laptop,2346.4
319,Lipstick,Beauty,Lipstick,3998.82
320,Jeans,Clothing,Jeans,4141.75
321,Jacket,Clothing,Jacket,1489.61
322,Bat,Sports,Bat,2478.16
323,Chair,Home,Chair,3941.06
324,Shirt,Clothing,Shirt,4302.49
325,T-Shirt,Clothing,T-Shirt,1091.36
326,Perfume,Beauty,Perfume,1579.14
327,Chair,Home,Chair,1326.91
328,Table,Home,Table,3165.46
329,Perfume,Beauty,Perfume,546.88
330,Laptop,Electronics,Laptop,481.9
331,Bat,Sports,Bat,2280.83
332,Headphones,Electronics,Headphones,4941.96
333,Jeans,Clothing,Jeans,1221.84
334,Laptop,Electronics,Laptop,1901.05
335,Table,Home,Table,4085.5
336,Dictionary,Books,Dictionary,2860.13
337,Bat,Sports,Bat,3639.92
338,Perfume,Beauty,Perfume,3118.77
339,Jeans,Clothing,Jeans,592.28
340,Monitor,Electronics,Monitor,2204.0
341,Dictionary,Books,Dictionary,512.82
342,Cricket Ball,Sports,Cricket Ball,3483.33
343,Lipstick,Beauty,Lipstick,3073.94
344,Notebook,Books,Notebook,367.39
345,Notebook,Books,Notebook,1281.3
346,Face Wash,Beauty,Face Wash,4890.72
347,Sofa,Home,Sofa,4317.99
348,Tennis Racket,Sports,Tennis Racket,3446.42
349,Shirt,Clothing,Shirt,167.59
350,Novel,Books,Novel,4748.53
351,Jacket,Clothing,Jacket,2555.14
352,T-Shirt,Clothing,T-Shirt,503.9
353,Bat,Sports,Bat,1618.54
354,Bat,Sports,Bat,861.35
355,Lamp,Home,Lamp,3839.8
356,Face Wash,Beauty,Face Wash,2243.68
357,Novel,Books,Novel,4630.68
358,Monitor,Electronics,Monitor,369.64
359,Perfume,Beauty,Perfume,3568.71
360,Face Wash,Beauty,Face Wash,4769.78
361,Cricket Ball,Sports,Cricket Ball,721.96
362,Chair,Home,Chair,243.85
363,Jacket,Clothing,Jacket,1388.45
364,Football,Sports,Football,2602.83
365,Monitor,Electronics,Monitor,917.72
366,Magazine,Books,Magazine,4481.92
367,Face Wash,Beauty,Face Wash,2593.24
368,Laptop,Electronics,Laptop,2411.65
369,Jeans,Clothing,Jeans,4805.68
370,Monitor,Electronics,Monitor,1316.49
371,Lipstick,Beauty,Lipstick,481.65
372,Chair,Home,Chair,4519.51
373,Dictionary,Books,Dictionary,4908.93
374,Shirt,Clothing,Shirt,4343.56
375,Sofa,Home,Sofa,2338.06
376,Table,Home,Table,3944.09
377,Perfume,Beauty,Perfume,2999.29
378,Jeans,Clothing,Jeans,2778.14
379,Dictionary,Books,Dictionary,217.16
380,Cricket Ball,Sports,Cricket Ball,3497.96
381,Headphones,Electronics,Headphones,1943.75
382,Lipstick,Beauty,Lipstick,2696.09
383,Notebook,Books,Notebook,393.49
384,Magazine,Books,Magazine,4614.24
385,Tennis Racket,Sports,Tennis Racket,1925.21
386,Face Wash,Beauty,Face Wash,2576.6
387,Cream,Beauty,Cream,2882.32
388,Jeans,Clothing,Jeans,1378.86
389,Lamp,Home,Lamp,3703.23
390,Lamp,Home,Lamp,465.97
391,Dictionary,Books,Dictionary,2965.07
392,Novel,Books,Novel,2383.67
393,Shirt,Clothing,Shirt,4826.71
394,Notebook,Books,Notebook,1398.54
395,Laptop,Electronics,Laptop,3461.67
396,Face Wash,Beauty,Face Wash,4297.21
397,Novel,Books,Novel,4845.16
398,Shirt,Clothing,Shirt,1374.82
399,Novel,Books,Novel,4287.55
400,Bat,Sports,Bat,599.35
401,Novel,Books,Novel,740.5
402,Jacket,Clothing,Jacket,4694.12
403,Headphones,Electronics,Headphones,467.44
404,Mobile,Electronics,Mobile,2272.81
405,Novel,Books,Novel,4163.85
406,Chair,Home,Chair,348.12
407,Tennis Racket,Sports,Tennis Racket,2035.49
408,Monitor,Electronics,Monitor,946.76
409,Dictionary,Books,Dictionary,2285.46
410,Novel,Books,Novel,3123.19
411,Lipstick,Beauty,Lipstick,4425.62
412,Shirt,Clothing,Shirt,1976.77
413,Jeans,Clothing,Jeans,4006.27
414,Novel,Books,Novel,3931.39
415,Lamp,Home,Lamp,2474.93
416,Cricket Ball,Sports,Cricket Ball,981.1
417,Table,Home,Table,387.1
418,Jacket,Clothing,Jacket,4998.07
419,Novel,Books,Novel,1281.65
420,Football,Sports,Football,4744.23
421,Tennis Racket,Sports,Tennis Racket,4212.19
422,Dictionary,Books,Dictionary,1658.22
423,Lipstick,Beauty,Lipstick,238.21
424,Lipstick,Beauty,Lipstick,2861.67
425,Bat,Sports,Bat,4070.97
426,Jacket,Clothing,Jacket,286.02
427,Mobile,Electronics,Mobile,197.65
428,Shirt,Clothing,Shirt,3109.26
429,Magazine,Books,Magazine,4602.03
430,Chair,Home,Chair,3553.01
431,Novel,Books,Novel,4317.28
432,Headphones,Electronics,Headphones,3344.48
433,Football,Sports,Football,1680.76
434,Notebook,Books,Notebook,4807.24
435,Lipstick,Beauty,Lipstick,4846.84
436,Lipstick,Beauty,Lipstick,2985.86
437,Notebook,Books,Notebook,3473.64
438,Dictionary,Books,Dictionary,4749.06
439,Tennis Racket,Sports,Tennis Racket,3877.07
440,Football,Sports,Football,1659.26
441,Bat,Sports,Bat,610.14
442,Jeans,Clothing,Jeans,481.25
443,Sofa,Home,Sofa,4438.07
444,Headphones,Electronics,Headphones,1399.54
445,Novel,Books,Novel,3956.4
446,Face Wash,Beauty,Face Wash,3689.66
447,Notebook,Books,Notebook,1955.69
448,Tennis Racket,Sports,Tennis Racket,2449.5
449,Bat,Sports,Bat,461.18
450,Headphones,Electronics,Headphones,4763.14
451,Headphones,Electronics,Headphones,1939.74
452,Face Wash,Beauty,Face Wash,4500.81
453,Headphones,Electronics,Headphones,3106.86
454,Shirt,Clothing,Shirt,3302.81
455,Tennis Racket,Sports,Tennis Racket,596.16
456,Dictionary,Books,Dictionary,2815.15
457,Lipstick,Beauty,Lipstick,1557.26
458,Laptop,Electronics,Laptop,2793.35
459,Jeans,Clothing,Jeans,118.7
460,Headphones,Electronics,Headphones,3162.95
461,Jeans,Clothing,Jeans,1114.07
462,Lipstick,Beauty,Lipstick,2420.5
463,Headphones,Electronics,Headphones,2407.63
464,Lipstick,Beauty,Lipstick,2766.22
465,Magazine,Books,Magazine,1910.07
466,Shirt,Clothing,Shirt,2378.78
467,Magazine,Books,Magazine,840.54
468,Face Wash,Beauty,Face Wash,1784.58
469,Tennis Racket,Sports,Tennis Racket,2989.66
470,Football,Sports,Football,4110.19
471,T-Shirt,Clothing,T-Shirt,1254.65
472,Chair,Home,Chair,4284.31
473,Mobile,Electronics,Mobile,3810.22
474,Dictionary,Books,Dictionary,4061.46
475,Novel,Books,Novel,4942.57
476,Jeans,Clothing,Jeans,3173.41
477,Cricket Ball,Sports,Cricket Ball,3662.8
478,Laptop,Electronics,Laptop,2047.04
479,Sofa,Home,Sofa,4594.09
480,Monitor,Electronics,Monitor,833.25
481,Football,Sports,Football,2857.15
482,Headphones,Electronics,Headphones,4412.67
483,Jacket,Clothing,Jacket,2479.37
484,Tennis Racket,Sports,Tennis Racket,2074.57
485,Tennis Racket,Sports,Tennis Racket,3483.52
486,Monitor,Electronics,Monitor,4495.45
487,Headphones,Electronics,Headphones,1584.97
488,Lamp,Home,Lamp,3455.77
489,Dictionary,Books,Dictionary,3744.25
490,Sofa,Home,Sofa,3064.4
491,Mobile,Electronics,Mobile,4575.82
492,T-Shirt,Clothing,T-Shirt,4349.23
493,Mobile,Electronics,Mobile,3576.89
494,Jeans,Clothing,Jeans,2669.0
495,Football,Sports,Football,4388.38
496,Novel,Books,Novel,2336.6
497,Table,Home,Table,4135.18
498,Tennis Racket,Sports,Tennis Racket,706.98
499,Mobile,Electronics,Mobile,3010.81
500,Notebook,Books,Notebook,1813.82
