order_item_id,order_id,product_id,quantity,unit_price,discount_percent
88,376,433,3,656.38,20
89,183,140,3,7314.42,22
90,328,264,2,1629.33,6
91,166,424,3,5644.15,23
92,422,71,5,6274.7,26
93,53,258,2,6401.83,35
94,270,365,5,6460.13,26
95,420,9,4,5590.2,8
96,306,497,3,2576.54,47
97,439,353,2,1836.76,5
98,58,397,4,531.63,6
99,304,61,0,2552.84,0
100,472,301,2,2941.96,5
101,143,179,3,4104.95,46
102,35,297,1,5783.33,18
103,3,51,2,6840.12,30
104,226,55,2,7854.15,27
105,58,161,1,4253.88,31
106,286,43,3,3201.29,29
107,500,116,5,7882.71,27
108,431,481,3,7990.04,31
109,268,44,1,3324.87,37
110,457,34,3,2841.33,38
111,120,372,4,5765.25,37
112,411,205,3,4904.69,25
113,76,56,1,4078.74,40
114,378,35,4,7782.17,24
115,156,50,1,4255.6,31
116,339,259,3,6513.96,34
117,17,451,1,2653.56,24
118,91,441,3,1480.33,27
119,250,292,4,5545.92,36
120,81,201,3,7772.79,39
121,146,15,0,6728.09,22
122,392,175,4,2892.12,22
123,126,332,3,7301.03,4
124,87,167,1,6934.27,36
125,11,302,1,3146.35,24
126,251,346,2,4121.59,48
127,154,224,2,6809.21,50
128,110,25,3,3335.81,14
129,368,49,5,724.7,33
130,408,422,3,2539.29,42
131,206,264,4,4470.99,1
132,96,110,4,5175.83,39
133,479,321,1,3041.34,9
134,392,223,4,6675.67,4
135,137,331,2,4889.61,25
136,15,424,3,4566.64,27
137,104,70,1,6467.6,42
138,22,249,1,7192.74,20
139,462,460,3,7108.61,25
140,72,293,5,4271.27,37
141,129,47,2,6230.89,20
142,200,381,2,1900.47,6
143,226,442,5,4361.07,44
144,217,127,3,7508.38,23
145,158,496,0,5967.71,3
146,123,197,3,5664.81,43
147,440,5,4,7359.83,19
148,121,441,2,5124.55,49
149,141,422,4,3421.1,21
150,420,83,3,2944.48,38
151,168,15,1,1633.17,28
152,206,157,3,1064.46,15
153,426,67,5,6382.61,20
154,69,352,5,6436.32,12
155,202,484,5,7595.25,35
156,465,237,2,6844.28,3
157,134,491,3,4624.49,0
158,472,424,4,5765.8,12
159,137,254,4,6879.43,38
160,373,215,2,1338.35,18
161,231,190,5,3773.68,0
162,499,352,2,5725.93,47
163,286,171,2,2963.55,38
164,307,415,-3,5033.33,19
165,68,287,1,2230.27,32
166,240,163,5,2231.17,20
167,447,144,3,2406.82,16
168,136,224,2,7957.61,48
169,473,409,4,1359.24,14
170,84,224,1,7432.21,2
171,288,253,1,6961.66,7
172,146,87,5,4593.33,42
173,498,519,2,799.32,49
174,169,349,1,4804.64,6
175,42,363,4,7650.57,38
176,23,487,4,5906.05,46
177,67,25,3,633.17,4
178,48,92,2,6951.02,5
179,199,146,2,4028.59,27
180,463,68,3,6690.01,32
181,199,289,5,6100.63,23
182,219,263,3,5476.23,41
183,254,332,5,3852.11,5
184,77,351,3,4280.12,18
185,470,56,5,936.98,42
186,182,42,-3,5360.31,11
187,24,449,3,5847.94,48
188,136,471,2,810.12,38
189,223,3,4,1539.54,30
190,337,309,4,6542.43,39
191,354,412,3,1253.89,12
192,507,108,4,5267.97,27
193,276,155,4,3490.66,7
194,360,249,-2,4764.76,12
195,201,5,1,5762.12,26
196,306,149,1,3991.59,37
197,464,250,2,4320.81,27
198,138,214,4,5057.03,41
199,11,372,2,3617.26,32
200,174,437,4,2488.47,45
201,482,377,3,6438.09,10
202,384,248,2,1419.25,31
203,253,108,0,341.42,16
204,424,258,1,2834.33,7
205,115,175,3,6206.74,35
206,354,310,1,7427.73,28
207,387,55,5,6895.42,6
208,54,61,2,1424.85,18
209,256,51,2,2809.94,8
210,497,394,1,6511.33,21
211,137,387,4,5386.96,9
212,404,411,4,3392.61,29
213,350,16,4,277.6,33
214,162,396,2,3267.48,2
215,463,324,5,3470.58,43
216,370,466,-2,7221.63,39
217,229,455,5,5021.86,28
218,401,398,2,857.39,34
219,379,267,5,923.99,35
220,326,15,5,2082.45,49
221,259,31,3,4158.5,7
222,64,294,1,7867.01,47
223,458,341,5,2023.94,19
224,367,72,4,2131.54,20
225,399,51,2,6661.81,5
226,67,229,1,4304.79,37
227,447,256,4,5574.34,31
228,84,66,4,1209.2,45
229,356,243,1,7563.74,23
230,437,62,3,514.2,9
231,192,249,1,1308.69,37
232,157,111,2,4012.59,7
233,23,294,3,7222.24,50
234,427,391,2,3795.3,28
235,373,410,5,3395.1,14
236,24,456,4,5238.15,10
237,408,159,5,5222.53,5
238,296,491,5,6054.36,32
239,480,493,1,1805.28,45
240,44,311,3,550.87,1
241,13,163,4,1094.23,6
242,94,46,2,3376.76,10
243,93,30,3,2696.32,26
244,483,62,1,6066.64,37
245,259,59,3,3825.62,26
246,325,454,1,7715.1,43
247,334,156,5,854.49,40
248,73,87,2,3505.27,35
249,515,318,3,1505.58,3
250,307,349,4,6771.02,13
251,24,274,5,899.78,44
252,285,450,4,4137.6,20
253,326,386,4,5365.76,20
254,307,468,2,215.97,101
255,212,357,4,4397.43,50
256,276,427,4,2953.36,24
257,91,416,1,3089.75,12
258,11,349,3,6566.99,40
259,120,496,0,4044.14,45
260,101,327,4,2363.31,32
261,338,345,5,709.81,8
262,478,117,5,2339.76,43
263,348,130,5,215.25,27
264,27,166,4,3373.63,7
265,186,23,0,7363.45,34
266,507,451,5,7924.06,14
267,39,101,2,690.18,40
268,414,409,3,2127.8,30
269,28,267,2,6250.85,39
270,229,44,1,3143.68,44
271,471,29,3,3568.34,6
272,151,206,1,3406.64,38
273,233,408,4,5030.0,21
274,14,169,5,1000.98,38
275,431,294,2,2199.03,26
276,96,409,1,2631.0,27
277,184,454,5,1349.79,19
278,497,519,2,4155.44,35
279,101,328,2,2864.11,42
280,240,170,5,2818.15,19
281,233,467,1,7375.64,40
282,320,247,3,3132.11,25
283,186,512,1,1310.74,28
284,392,500,1,2415.99,14
285,174,126,2,1573.4,16
286,347,336,1,1839.85,29
287,339,270,5,7051.43,4
288,67,99,5,3119.19,38
289,472,316,5,4376.65,50
290,323,447,2,7753.4,31
291,241,315,1,3227.3,41
292,266,165,3,3969.72,31
293,327,299,1,7180.1,28
294,157,194,5,6770.97,16
295,44,266,3,520.91,32
296,240,189,4,3182.49,11
297,39,43,3,4199.77,41
298,117,37,0,1762.39,12
299,382,350,3,4911.47,8
300,379,134,1,2398.39,22
301,208,388,1,4198.65,48
302,117,384,2,4223.44,50
303,417,406,1,1665.2,49
304,225,286,1,4704.57,8
305,256,428,3,3469.35,43
306,354,167,-1,7392.72,9
307,291,309,5,3248.91,24
308,274,244,1,7703.12,40
309,54,91,1,4906.24,1
310,494,106,2,4290.29,29
311,88,466,4,7918.84,8
312,36,463,2,1804.28,27
313,82,481,3,4119.31,43
314,74,423,4,2125.35,21
315,236,21,1,7071.75,29
316,406,314,2,1600.71,39
317,467,358,5,5649.43,2
318,141,276,3,720.6,46
319,253,391,5,3076.11,48
320,167,85,3,548.15,1
321,384,176,4,3294.06,0
322,70,384,4,732.25,35
323,225,421,3,1530.59,1
324,64,201,2,6155.99,43
325,92,18,5,5634.59,40
326,367,53,4,3663.1,150
327,104,192,2,325.1,1
328,99,33,2,953.51,42
329,213,418,3,5088.93,39
330,481,119,2,2722.27,0
331,200,113,1,2371.97,39
332,112,393,5,7925.7,45
333,436,129,1,7855.04,44
334,395,171,2,7094.94,20
335,35,312,5,4186.0,47
336,7,316,1,5955.72,48
337,71,152,2,1794.21,2
338,485,450,3,2676.8,50
339,213,148,1,5916.41,21
340,465,128,2,3175.59,20
341,34,36,2,7937.7,13
342,282,478,2,809.68,46
343,102,91,5,2425.75,28
344,442,41,3,1508.58,28
345,222,420,-2,3533.7,5
346,305,284,2,3816.48,29
347,247,70,4,7345.83,133
348,192,474,4,7769.84,23
349,302,454,1,1170.92,36
350,491,468,3,4011.25,44
351,198,377,2,469.16,23
352,358,76,3,7565.27,9
353,488,83,1,919.99,45
354,301,42,5,7032.85,10
355,155,273,4,5924.68,48
356,46,294,3,2298.37,13
357,158,506,-1,6235.2,26
358,376,91,3,1247.79,31
359,231,109,2,6049.34,48
360,447,321,5,5164.18,5
361,142,16,5,3984.52,48
362,385,341,5,526.5,13
363,520,493,3,3891.21,21
364,350,162,2,5387.61,24
365,448,52,1,5646.8,46
366,14,445,5,5654.26,15
367,338,264,4,224.41,40
368,9,448,1,5939.34,43
369,205,407,1,7524.86,30
370,464,198,3,5753.15,33
371,367,66,4,2550.52,43
372,240,229,1,4417.21,15
373,338,55,4,427.93,20
374,113,341,4,5430.69,42
375,372,408,3,7467.88,49
376,176,368,4,6323.64,27
377,60,58,1,4819.16,12
378,189,161,4,213.09,3
379,199,164,3,7484.62,8
380,114,5,5,2664.22,18
381,234,146,2,6823.19,44
382,258,64,3,5710.87,30
383,150,193,1,2798.53,45
384,415,377,1,6253.1,31
385,418,435,2,4473.95,21
386,179,201,1,2407.71,44
387,281,68,3,4726.99,3
388,235,296,2,3963.05,9
389,101,5,3,4690.32,43
390,193,219,2,949.17,30
391,264,304,4,5090.39,25
392,204,353,5,5291.82,24
393,344,399,4,5272.43,17
394,6,43,1,5416.58,32
395,294,356,1,1612.55,30
396,153,51,3,7289.27,50
397,359,285,5,4334.68,4
398,366,334,1,1818.22,42
399,307,3,5,2651.51,2
400,83,132,1,1172.79,19
401,217,337,1,560.1,33
402,274,296,4,4276.8,22
403,353,420,1,1666.97,19
404,69,111,5,1202.24,39
405,134,463,2,849.38,16
406,74,37,3,5635.06,12
407,332,310,2,1397.23,50
408,310,139,1,5535.04,26
409,186,399,3,6425.16,125
410,114,54,1,5880.95,19
411,49,359,5,4502.03,38
412,163,200,2,5982.12,50
413,436,304,2,5555.94,45
414,194,137,1,5185.71,23
415,312,235,2,2961.21,29
416,220,368,2,6891.79,19
417,47,40,2,1487.88,3
418,476,448,1,3507.07,32
419,255,347,5,3362.68,39
420,4,360,5,2104.96,47
421,451,351,0,3699.49,10
422,269,90,1,1239.89,22
423,195,497,1,5496.69,34
424,149,151,3,5956.6,36
425,476,330,5,476.35,29
426,30,316,4,2960.36,0
427,206,52,4,861.0,32
428,468,80,3,3283.8,19
429,275,56,4,3626.98,8
430,184,364,2,2422.22,8
431,462,342,2,7685.65,17
432,254,366,2,6162.26,25
433,432,68,1,6383.16,8
434,393,27,3,4857.28,0
435,249,220,2,5888.14,11
436,443,359,2,3547.44,30
437,359,313,2,6868.0,40
438,68,141,2,3525.16,39
439,195,157,2,3523.39,3
440,156,187,3,5750.37,15
441,21,511,2,2385.24,38
442,486,172,3,5417.79,43
443,170,415,3,4793.51,38
444,108,45,1,5992.18,7
445,453,98,2,7418.9,4
446,155,390,2,1398.64,8
447,130,389,5,7180.32,28
448,224,215,5,4130.18,1
449,496,24,5,7785.3,12
450,351,263,1,6055.68,24
451,311,95,1,1898.9,133
452,363,133,3,2511.64,17
453,24,150,1,7547.96,17
454,405,128,2,210.92,22
455,167,362,5,1242.17,39
456,321,422,3,7728.77,11
457,519,382,4,2207.29,40
458,419,167,3,5112.45,48
459,374,189,2,930.79,11
460,91,252,2,364.17,10
461,352,36,2,2112.98,41
462,270,385,1,3147.43,1
463,502,395,1,7521.07,101
464,55,419,3,862.73,8
465,228,158,3,2101.71,34
466,64,23,1,1000.02,26
467,13,198,2,2437.4,43
468,422,252,2,1951.28,18
469,61,474,1,4915.15,11
470,93,77,3,2438.64,6
471,189,416,1,6921.37,9
472,76,370,4,1082.68,27
473,47,66,2,2950.35,31
474,212,326,3,7563.44,15
475,276,273,5,3200.09,37
476,398,384,2,2034.51,0
477,186,491,2,664.7,22
478,399,151,4,6855.84,26
479,29,61,2,405.51,27
480,340,245,5,435.45,23
481,7,417,4,1622.91,47
482,486,211,3,5229.81,0
483,452,310,2,284.77,27
484,284,133,5,5732.95,27
485,48,487,2,3323.14,3
486,382,310,1,3853.8,20
487,195,412,3,1718.9,6
488,399,15,2,4424.23,4
489,510,104,1,863.31,36
490,405,25,3,2607.12,22
491,257,385,4,7796.04,44
492,460,52,5,1371.46,37
493,445,149,2,3812.23,40
494,453,349,2,1456.17,32
495,334,394,3,1223.34,18
496,221,365,4,7976.67,38
497,322,50,1,6989.57,35
498,459,49,4,7485.64,10
499,181,92,4,3891.44,16
500,474,64,5,3035.08,18
501,470,226,3,5072.13,20
502,260,450,1,5222.16,47
503,288,504,3,4647.04,4
504,343,239,4,7220.99,29
505,56,473,4,1755.87,21
506,310,360,4,3745.71,34
507,328,291,1,6238.8,3
508,221,110,1,378.95,48
509,326,73,1,837.33,45
510,110,133,2,921.04,27
511,85,483,4,4376.95,50
512,182,293,4,4575.09,38
513,297,166,-2,7483.79,31
514,497,135,5,7908.26,8
515,297,112,2,4459.47,10
516,108,498,5,3088.0,120
517,445,256,4,2943.49,34
518,172,91,4,1579.78,38
519,146,353,4,5676.32,6
520,54,9,5,1008.67,47
521,52,258,5,5408.14,26
522,283,101,4,2934.79,50
523,421,402,-2,6301.13,32
524,136,463,4,232.43,26
525,405,419,5,4879.58,21
526,221,499,4,5226.59,3
527,66,200,2,2681.37,10
528,411,61,5,6775.64,40
529,82,105,1,3611.88,40
530,317,472,1,397.26,46
531,324,96,2,1929.69,12
532,400,194,3,2344.73,9
533,297,57,4,1156.94,9
534,48,433,3,1822.19,6
535,38,321,1,3475.28,20
536,83,6,2,5123.46,2
537,178,315,5,1435.43,47
538,311,12,5,1388.3,23
539,168,43,2,3956.28,5
540,151,415,4,7581.5,12
541,434,144,4,6386.6,37
542,489,222,4,6027.22,20
543,220,181,3,6590.87,28
544,262,210,3,7042.57,33
545,93,220,2,766.59,42
546,161,164,1,1867.42,36
547,288,146,5,1896.21,35
548,453,344,1,5240.91,43
549,164,26,4,7924.03,26
550,308,197,2,2423.29,41
551,3,146,2,3341.92,34
552,331,241,1,3437.62,19
553,205,397,3,567.17,19
554,435,467,1,7514.09,6
555,6,166,4,886.53,46
556,463,3,1,6322.56,7
557,136,314,4,1528.64,8
558,164,386,5,7733.52,26
559,268,296,4,7815.53,20
560,48,152,1,6717.23,15
561,106,39,4,302.4,13
562,250,107,5,4208.63,20
563,233,435,5,1214.47,23
564,318,400,4,2367.14,10
565,296,76,4,6011.2,130
566,15,272,4,1122.94,35
567,78,221,5,3642.46,23
568,375,100,3,1577.83,17
569,222,26,2,1912.72,3
570,123,52,3,5037.72,45
571,113,451,3,1534.03,13
572,306,2,1,7280.7,39
573,465,88,3,1499.83,21
574,7,220,-2,7073.81,10
575,305,243,-1,3886.03,2
576,149,269,5,1343.35,6
577,172,377,3,2207.25,31
578,424,364,3,6241.31,38
579,266,11,2,6878.87,42
580,16,380,4,6006.05,12
581,56,450,5,3704.3,33
582,179,201,5,7952.76,19
583,360,314,1,3749.22,50
584,497,505,4,4280.85,18
585,156,34,-1,1895.14,37
586,3,339,0,1274.21,18
587,491,80,1,1312.63,46
588,42,17,4,2140.08,43
589,496,458,3,4856.9,11
590,166,72,2,3447.24,12
591,291,237,5,6302.76,27
592,356,479,3,3535.82,26
593,468,491,4,1296.57,19
594,192,279,5,617.58,25
595,237,448,5,623.9,3
596,55,50,3,5586.62,3
597,262,28,2,4583.98,31
598,328,155,3,7504.94,31
599,35,520,1,2128.21,6
600,228,475,1,3973.01,11
601,280,314,4,5013.84,27
602,73,337,2,5984.98,34
603,149,492,5,5408.06,25
604,238,218,-2,1136.99,120
605,334,318,0,7275.06,8
606,142,506,3,6915.97,13
607,200,90,2,5809.83,21
608,72,391,3,732.04,41
609,311,295,5,4298.38,8
610,298,317,4,430.27,46
611,55,348,4,2005.97,49
612,122,451,2,3195.85,26
613,129,434,1,3119.71,40
614,165,231,4,5171.69,35
615,225,116,2,3585.69,33
616,299,492,1,6518.07,0
617,280,175,2,7670.4,46
618,427,424,4,2980.58,35
619,225,193,1,1192.1,33
620,119,277,-2,7393.73,16
621,447,496,3,4687.78,33
622,205,280,1,7508.03,16
623,216,172,1,4467.28,46
624,468,121,4,7594.38,39
625,19,37,4,4976.97,5
626,67,22,0,4159.31,41
627,401,498,-1,405.56,50
628,441,351,1,606.7,49
629,360,71,1,7197.74,23
630,471,119,1,1971.58,47
631,275,411,1,2149.39,3
632,93,161,3,7145.31,18
633,337,40,1,4440.44,31
634,460,113,4,7543.13,49
635,126,137,3,4126.87,3
636,487,144,1,1269.63,33
637,108,372,0,2033.82,28
638,59,429,1,4788.27,19
639,143,197,-2,3200.37,2
640,338,27,0,6151.37,1
641,173,465,3,4809.48,48
642,319,219,1,4515.69,46
643,481,218,5,6198.3,16
644,382,122,2,2389.46,43
645,128,152,3,501.13,17
646,401,396,-2,4633.84,20
647,228,226,1,7733.91,30
648,210,481,1,4960.56,20
649,133,142,3,1192.34,40
650,336,59,1,4152.41,28
651,368,488,3,325.72,22
652,121,40,5,4186.08,15
653,425,213,1,7031.65,9
654,185,209,3,7793.31,39
655,149,467,-3,1849.54,20
656,261,365,3,3154.95,37
657,196,333,1,7677.28,14
658,323,215,5,6811.24,33
659,338,226,3,6720.87,18
660,410,186,2,6035.87,7
661,491,186,1,4144.02,23
662,230,118,5,7896.61,34
663,346,71,5,2437.7,20
664,259,295,4,6226.63,11
665,504,392,5,3864.91,6
666,221,86,1,6961.66,24
667,206,124,3,7199.93,21
668,370,379,3,7303.26,40
669,149,359,2,5844.92,37
670,43,4,5,5456.48,29
671,261,144,1,4047.69,3
672,297,476,4,3195.73,48
673,417,452,2,2370.4,39
674,85,141,4,7105.72,18
675,311,474,2,1299.82,13
676,87,463,1,4410.67,102
677,145,293,4,4262.97,29
678,362,62,4,4047.39,5
679,375,496,3,6005.36,14
680,260,233,5,777.89,44
681,222,362,5,6763.16,42
682,486,5,2,3134.43,14
683,78,96,4,1748.87,5
684,384,223,1,4967.49,45
685,135,324,5,2919.89,33
686,154,449,3,4023.73,40
687,247,113,1,7195.18,48
688,167,218,1,7659.26,42
689,361,452,4,6939.27,38
690,149,111,4,6220.03,16
691,415,205,3,2292.87,46
692,24,210,2,1498.97,13
693,496,169,2,355.38,46
694,400,468,3,4512.57,41
695,275,81,5,5799.0,18
696,170,284,2,481.38,1
697,257,249,1,2551.44,14
698,18,64,4,1223.31,47
699,40,370,-3,6675.96,38
700,302,100,5,6321.22,27
